6.245253 134.080612 2.612551 1 1 1 820 1
6.245253 134.080612 2.612551 2 1 1 820 1
6.245253 134.080612 2.612551 3 1 1 820 1
6.245253 134.080612 2.612551 4 1 1 820 1
6.245253 134.080612 2.612551 5 1 1 820 1
6.245253 134.080612 2.612551 6 1 1 820 1
6.245253 134.080612 2.612551 7 1 1 820 1
6.245253 134.080612 2.612551 8 1 1 820 1
1.698864 93.569923 315.492249 9 1 1 88 1
1.698864 93.569923 315.492249 10 1 1 88 1
1.698864 93.569923 315.492249 11 1 1 88 1
1.698864 93.569923 315.492249 12 1 1 88 1
1.698864 93.569923 315.492249 13 1 1 88 1
1.698864 93.569923 315.492249 14 1 1 88 1
1.698864 93.569923 315.492249 15 1 1 88 1
1.698864 93.569923 315.492249 16 1 1 88 1
185.375336 55.265156 56.248032 17 1 1 74 1
185.375336 55.265156 56.248032 18 1 1 74 1
185.375336 55.265156 56.248032 19 1 1 74 1
185.375336 55.265156 56.248032 20 1 1 74 1
185.375336 55.265156 56.248032 21 1 1 74 1
185.375336 55.265156 56.248032 22 1 1 74 1
185.375336 55.265156 56.248032 23 1 1 74 1
186.233978 83.099243 138.154663 24 1 1 441 1
186.233978 83.099243 138.154663 25 1 1 441 1
186.233978 83.099243 138.154663 26 1 1 441 1
186.233978 83.099243 138.154663 27 1 1 441 1
242.826324 157.491608 346.557404 28 1 1 481 1
303.149719 136.670486 348.865143 29 1 1 562 1
303.149719 136.670486 348.865143 30 1 1 562 1
303.149719 136.670486 348.865143 31 1 1 562 1
303.149719 136.670486 348.865143 32 1 1 562 1
6.245253 134.080612 2.612551 1 2 1 820 1
6.245253 134.080612 2.612551 2 2 1 820 1
6.245253 134.080612 2.612551 3 2 1 820 1
6.245253 134.080612 2.612551 4 2 1 820 1
6.245253 134.080612 2.612551 5 2 1 820 1
6.245253 134.080612 2.612551 6 2 1 820 1
6.245253 134.080612 2.612551 7 2 1 820 1
6.245253 134.080612 2.612551 8 2 1 820 1
1.698864 93.569923 315.492249 9 2 1 88 1
1.698864 93.569923 315.492249 10 2 1 88 1
1.698864 93.569923 315.492249 11 2 1 88 1
1.698864 93.569923 315.492249 12 2 1 88 1
1.698864 93.569923 315.492249 13 2 1 88 1
1.698864 93.569923 315.492249 14 2 1 88 1
1.698864 93.569923 315.492249 15 2 1 88 1
1.698864 93.569923 315.492249 16 2 1 88 1
185.375336 55.265156 56.248032 17 2 1 74 1
185.375336 55.265156 56.248032 18 2 1 74 1
185.375336 55.265156 56.248032 19 2 1 74 1
185.375336 55.265156 56.248032 20 2 1 74 1
185.375336 55.265156 56.248032 21 2 1 74 1
185.375336 55.265156 56.248032 22 2 1 74 1
186.233978 83.099243 138.154663 23 2 1 441 1
186.233978 83.099243 138.154663 24 2 1 441 1
186.233978 83.099243 138.154663 25 2 1 441 1
186.233978 83.099243 138.154663 26 2 1 441 1
242.826324 157.491608 346.557404 27 2 1 481 1
242.826324 157.491608 346.557404 28 2 1 481 1
303.149719 136.670486 348.865143 29 2 1 562 1
303.149719 136.670486 348.865143 30 2 1 562 1
303.149719 136.670486 348.865143 31 2 1 562 1
303.149719 136.670486 348.865143 32 2 1 562 1
6.245253 134.080612 2.612551 1 3 1 820 1
6.245253 134.080612 2.612551 2 3 1 820 1
6.245253 134.080612 2.612551 3 3 1 820 1
6.245253 134.080612 2.612551 4 3 1 820 1
6.245253 134.080612 2.612551 5 3 1 820 1
6.245253 134.080612 2.612551 6 3 1 820 1
6.245253 134.080612 2.612551 7 3 1 820 1
6.245253 134.080612 2.612551 8 3 1 820 1
1.698864 93.569923 315.492249 9 3 1 88 1
1.698864 93.569923 315.492249 10 3 1 88 1
1.698864 93.569923 315.492249 11 3 1 88 1
1.698864 93.569923 315.492249 12 3 1 88 1
1.698864 93.569923 315.492249 13 3 1 88 1
1.698864 93.569923 315.492249 14 3 1 88 1
1.698864 93.569923 315.492249 15 3 1 88 1
1.698864 93.569923 315.492249 16 3 1 88 1
185.375336 55.265156 56.248032 17 3 1 74 1
185.375336 55.265156 56.248032 18 3 1 74 1
185.375336 55.265156 56.248032 19 3 1 74 1
185.375336 55.265156 56.248032 20 3 1 74 1
185.375336 55.265156 56.248032 21 3 1 74 1
185.375336 55.265156 56.248032 22 3 1 74 1
186.233978 83.099243 138.154663 23 3 1 441 1
186.233978 83.099243 138.154663 24 3 1 441 1
186.233978 83.099243 138.154663 25 3 1 441 1
186.233978 83.099243 138.154663 26 3 1 441 1
242.826324 157.491608 346.557404 27 3 1 481 1
242.826324 157.491608 346.557404 28 3 1 481 1
242.826324 157.491608 346.557404 29 3 1 481 1
303.149719 136.670486 348.865143 30 3 1 562 1
303.149719 136.670486 348.865143 31 3 1 562 1
303.149719 136.670486 348.865143 32 3 1 562 1
6.245253 134.080612 2.612551 1 4 1 820 1
6.245253 134.080612 2.612551 2 4 1 820 1
6.245253 134.080612 2.612551 3 4 1 820 1
6.245253 134.080612 2.612551 4 4 1 820 1
6.245253 134.080612 2.612551 5 4 1 820 1
6.245253 134.080612 2.612551 6 4 1 820 1
6.245253 134.080612 2.612551 7 4 1 820 1
